Time of Breakdown, lat, long, Time of resume
2018-03-21T22:37:48.27+08:00,1.3272383,103.9443528,2018-03-21T22:37:50.73+08:00
2018-03-21T22:39:36.509+08:00,1.3272383,103.9443528,2018-03-21T22:39:39.078+08:00
2018-03-21T22:40:27.568+08:00,1.3272383,103.9443528,2018-03-21T22:40:28.554+08:00
2018-03-21T22:49:35.001+08:00,1.3272383,103.9443528,2018-03-21T22:49:35.873+08:00
2018-03-21T23:05:15.129+08:00,1.3272383,103.9443528,2018-03-21T23:05:18.316+08:00
2018-03-21T23:10:06.977+08:00,1.3272383,103.9443528,2018-03-21T23:12:06.964+08:00
4 3 2018 01:05:21 AM,1.3272383,103.9443528,4 3 2018 01:05:35 AM
4 Mar 2018 01:20:28 AM,1.3272383,103.9443528,4 3 2018 01:20:30 AM
4 Mar 2018 01:28:59 AM,1.3272383,103.9443528,4 3 2018 01:29:02 AM
4 Mar 2018 01:31:58 AM,1.3272383,103.9443528,4 3 2018 01:31:59 AM
